id_componente,nivel,tipo_componente,codigo,nome,departamento,codigo_antigo,ch_total,cr_total,ch_aula,ch_laboratorio,ch_estagio,ch_dedicada_docente,ch_ead,equivalencia,pre_requisito,co_requisito,ementa,bibliografia,curso,ativo,num_unidades,tem_orientador,aceita_subturma,permite_horario_flexivel,permite_horario_docente_flexivel,conteudo_variavel,eminentemente_pratica
"29904","R","MODULO","RMEANE0016","AULA TEÓRICA  (2° ANO)","PRM-ANE",,"288","19","288","0","0","0","0",,,,"A Definir ",,,"t","1","f","f","f","f","f","f"
"29905","R","ATIVIDADES","RMEANE0017","APA/SRPA ( 2° ANO)","PRM-ANE",,"252","16","0","252","0","0","0",,,,"*",,,"t","1","f","f","f","f","f","f"
"29906","R","ATIVIDADES","RMEANE0018","OBSTETRÍCIA (2° ANO)","PRM-ANE",,"260","17","0","260","0","0","0",,,,"",,,"t","1","f","f","f","f","f","f"
"29907","R","ATIVIDADES","RMEANE0019","OFTALMO (2° ANO)","PRM-ANE",,"260","17","0","260","0","0","0",,,,"",,,"t","1","f","f","f","f","f","f"
"29908","R","ATIVIDADES","RMEANE0020","URGÊNCIA (2°ANO)","PRM-ANE",,"260","17","0","260","0","0","0",,,,"",,,"t","1","f","f","f","f","f","f"
"29909","R","ATIVIDADES","RMEANE0021","PLÁSTICA (2° ANO)","PRM-ANE",,"260","17","0","260","0","0","0",,,,"",,,"t","1","f","f","f","f","f","f"
"29910","R","ATIVIDADES","RMEANE0022","ENDOSCOPIA E COLONOSCOPIA (2° ANO)","PRM-ANE",,"260","17","0","260","0","0","0",,,,"",,,"t","1","f","f","f","f","f","f"
"29911","R","ATIVIDADES","RMEANE0023","ANESTESIA FORA DO CENTRO CIRÚRGICO (2° ANO)","PRM-ANE",,"260","17","0","260","0","0","0",,,,"*",,,"t","1","f","f","f","f","f","f"
"29912","R","ATIVIDADES","RMEANE0024","ORTOPEDIA (2° ANO)","PRM-ANE",,"260","17","0","260","0","0","0",,,,"",,,"t","1","f","f","f","f","f","f"
"29913","R","ATIVIDADES","RMEANE0025","NEUROCIRURGIA (2° ANO)","PRM-ANE",,"260","17","0","260","0","0","0",,,,"",,,"t","1","f","f","f","f","f","f"
"29914","R","ATIVIDADES","RMEANE0026","OPCIONAL (2° ANO)","PRM-ANE",,"260","17","0","260","0","0","0",,,,"",,,"t","1","f","f","f","f","f","f"
